,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M1_28_353,alse caritate hi es ghesont,None,als caritate hi es ghesont,None,alse caritate hi is ghesont,als caritate hi is ghesont,None,None,als karitate hij es gesont,als ca#ritate hi es gewont:,None,None,None,als caritate. hi is ghesont,None,None,None
M1_28_354,men machene niet verblenden,None,men machen niet verblenden,None,men maghene niet verblenden,men mach hem niet verblenden,None,None,men mach hem niet verblinden,men mach en niet verblenden:,None,None,None,men machen niet verblenden,None,None,None
M1_28_355,al laghe hi inder hellen gront,None,al ware hi inder hellen gront,None,al laghe hi in der hellen gront,al waer hi inder hellen gront.,None,None,al laghe hij inder hellen gront,al lage hi in der hellen gront:,None,None,None,al laghe hi in der hellen gront,None,None,None
M1_28_356,ware hi daer mede ghewont,None,ware hire mede ghewont,None,waer hi daer mede ghewont,waer hi daer mede ghewont:,None,None,waer hij daer mede ghewont,op dat hi ware daer mede gewont:,None,None,None,waere hi daer mede ghewont,None,None,waer hi daer mede gewont
M1_28_357,hine ware niet in ellenden,None,hien ware niet in ellenden,None,hi ne waer niet in ellenden,hi en waer niet in allenden,None,None,hine waer niet in ellenden,hi en ware niet in ellenden:,None,None,None,hi en waere niet in allenden,None,None,hine waer niet in elenden
M1_28_358,maer god en wille den riken vont,None,mar god wille niet den riken vont,None,mer god en wil den riken vont,mer god en wil den rijken vont,None,None,mer god en wille den riken vont,maer god en wilt den riken vont:,None,None,None,maer god en wilse den rijken vont,None,None,maer god en wilde den riken vont
M1_28_359,gheenen sondare gheenen hont,None,ghenen sondair ghenen hont,None,ghenen zondare ghenen hont,ghenen sondaer ghenen hont,None,None,gheenen sondare no ghenen hont,ghenen sondere genen hont:,None,None,None,ghenen zondaere ghenen hont,None,None,ghenen sondare genen hont
M1_28_360,nemmermeer toe senden,None,nemmer toe senden,None,nemmermeer toe zenden,nemmermeer toe seynden,None,None,nemmermeer toe senden,nemmermeer toe senden:,None,None,None,nemmermeer toezenden,None,None,nemmermeere toe sinden
M1_28_361,die edele haue dat diere pont,None,den edele haue tdiere pont,None,die edel gaue dat diere pont,die edel gaue dat diere pont.,None,None,die edele gaue dat diere pont,die edele gaue dat diere pont:,None,None,None,die edele gaue dat diere pont,None,None,dat edele gaue dat diere pont
M1_28_362,smaect alleene der vriende mont,None,smaict allene de vremden mont,None,het smaect allene der vriende mont,smaect allene der vrienden mont:,None,None,smaecte alleen der vrienden mont,smaect allene der vriende mont:,None,None,None,smaect allene der vrienden mont,None,None,smaect alleen der vriende mont
M1_28_363,men mach haer lijf doen henden,None,men mach hair lijf doen eynden,None,men mach hoer dlijf doen enden,men mach haer lijf doen eynden.,None,None,men mach haer lijf doen enden,men mach har lijf doen enden:,None,None,None,men mach hier tlijf doen henden,None,None,men mach haer lijf doen enden
M1_28_364,ende niet die ziele scenden,None,ende niet de ziele sceynden,None,mer niet die ziele scenden,maer niet die siele schenden:,None,None,maer niet die ziele schenden,maer niet die siele scenden:,None,None,None,maer niet de ziele schenden,None,None,ende niet de ziele scenden
M1_29_365,dander minne es onbehoet,None,dander minne es onbehoet,None,die ander minne is onbehoet,die ander minne is onbehoet/,None,None,dander minne es ombehoet,dander minne es onbehoedt:,None,None,None,dander minne es onbehoet,None,None,dander minne es onbehoet
M1_29_366,want soe staet om terdsche goet,None,want so staet na taertsche goet,None,want zi staet omt aerdsche goet,want sy staet na daertsche goet,None,None,want sij staet na deertsche goet,want si staet na dertsche goet:,None,None,None,want zoe staet na deersce goet,None,None,want si staet na dertsche goet
M1_29_367,ende om der weerelt eere,None,off nader werelt ere,None,of om der werelt eere,of na der werelt eere/,None,None,ende na der werelt eere,ende onder werelt eere:,None,None,None,ofte omme der weerelt eere,None,None,ende omder werelt eere.
M1_29_368,dits die minne die dicken doet,None,dits die minne die dicken doet,None,dits die minne die dicke doet,dit is minne die dicke doet,None,None,dits minne die dicke doet,dit es de minne die dicke doet:,None,None,None,dit es die minne die dickent doet,None,None,dats de minne die dicke doet
M1_29_369,rudderscap wesen verwoet,None,ridderscap wesen verwoet,None,ridderscap wesen verwoet,ridderscap wesen verwoet,None,None,ridderscap wesen verwoet,ridderscap werden uerwoedt:,None,None,None,trudderscap werden verwoet,None,None,ridderscap wesen uerwoet
M1_29_370,enten woeke heere,None,ende den wouker eere,None,ende den woekenere,ende den woekeneere,None,None,enten wokenneere,ende den woekerere:,None,None,None,ende oec den woukereere,None,None,ende den woekenere
M1_29_371,want die rudder niet gheroet,None,want die ridder niet gheuroet,None,want die ridder niene gheroet,want die ridder niet en beuroet,None,want tie ridder niet en doet,want die ridder niet en ghedoet,want de riddere niene geroert:,None,None,None,want die rudder niet en gheuroet,None,None,want de ridder niet roect
M1_29_372,hine verslijt vleesch ende bloet,None,hi versleet verslijt vleesch ende bloet,None,hine verslijt vleesch ende bloet,hy verslijt vleesch ende bloet,None,hine verslit vleesch ende bloet,hine verslijt vleesch ende bloet,hine verslit vleesch ende bloet:,None,None,None,hi en verslijt vleesch ende bloet,None,None,hine uerslijt vleesch ende bloet
M1_29_373,vp dat sijn prijs meere,None,vp dat zijn prijs niet mere,None,op dat zijn prijs ghemere,op dat sijn prijs meere,None,op dat sijn prijs mere,op dat siin prijs meere,op dat sijn prijs meere:,None,None,None,omme dat zijn prijs meere,None,None,op dat sijn prijs meere
M1_29_374,tander al ware ghelt de vloet,None,dander al ware ghelt de vloet,None,die ander alwaer al ghelt die vloet,dander al waer tghelt die vloet/,None,dander al ware al ghelt die vloet,dander. al waer al gelt een vloet,dandere al ware gelt die vloet:,None,None,None,dander al waere ghelt de vloet,None,None,dander al waer gelt de vloet
M1_29_375,ende hem vloyde in sinen moet,None,ende hem vloeyende in sinen moet,None,ende vloyde hem in zinen moet,ende hem vloeyde inden moet,None,ende hem vloyde inden moet,ende hem vloeyde inden moet,ende hem vloyede inden moet:,None,None,None,ende het hem vloyde in de moet,None,None,ende hem vloide inden mont
M1_29_376,hem soude noch also zeere,None,hem soude noch also zeere,None,hem zoude noch alsosere,hem soude noch alsoe seere,None,hem soude alsoe sere,hem soude noch zoe zeere,hem soude noch also seere:,None,None,None,hem zoude noch also zeere,None,None,hem soude alsoe zeere
M1_29_377,dorsten dant dede eere,None,dorsten alst dede eerre,None,dorsten alst dede ere.,dorsten alst dade eere,None,dorsten als dede ere,dorsten alst dede eere,dorsten alst dede eere:,None,None,None,dorsten alst dede eere.,None,None,dorsten alst dede eere
M1_30_378,dese minne heeft ondersceet,None,dese minne heeft ondersceet,None,dese minne heeft ondersceet,dese minne heeft onderscheet,None,dese minne heeft ondersceet,dese minne heeft onderscheet,dese minne heeft ondersceet:,None,None,None,deese minne heeft ondersceet,None,None,dese heuet ondersceet
M1_30_379,van hem die om die om die eere steet,None,van hem die omme die ere steet,None,van hem die om die ere steet,van hem die na die eere steet.,None,van hem die na die ere steet,van hem die na die eere steet,van hem die na de eere steet:,None,None,None,van hem die na die eere steet,None,None,van hem die omde eere steet
M1_30_380,entie pijnt omden scatte,None,ende die dient den scatte,None,ende om die scatte,ende dient den scatte,None,ende pinen omden scatte,ende om der werelt scatte.,ende die dienen omme die scatte:,None,None,None,ende pinen omme die scatte,None,None,ende om der werelt scatte
M1_30_381,wiltu eere hebben wes ghereet,None,wiltu ere hebben wes ghereet,None,wiltu ere hebben wes ghereet,wiltu eere hebben wes ghereet,None,wiltu ere hebben wes gereet,wiltu eere hebben wes ghereet,wilstu eere hebben so wes gereet:,None,None,None,wiltu eere hebben wes bereet,None,None,wiltu eere hebben wes gereet
M1_30_382,te latene dat gode es leet,None,te latene dat gode es leet,None,telaten dat gode is leet,te laten dat god is leet,None,te latene dat gode es leet,te laten dat gode es leet,te latene dat gode es leet:,None,None,None,te latene dat gode es leet,None,None,te laten dat gode es leet
M1_30_383,pijndi omme datte,None,pijnt di te doen datte,None,pijndi tedoen datte,pijnt v te doen al datte,None,pintti te doene datte,pijndy te doene datte,pijndi te doene datte:,None,None,None,pine di te doene datte,None,None,pijndi te doene datte
M1_30_384,dat hem lief es ende dat hi heet,None,dat hem lief sy ende hi di heet,None,dat hem lief is ende hi di heet,hem is lief ende hi dy heet.,None,dat hem lief es ende hi heet,dat hem es lief ende hij dij heet,dat hem lief es ende hi heet:,None,None,None,dat hem lief es ende hij heet,None,None,dat hem lief es ende hi di heet
M1_30_385,wes vromech ende om die eere sneet,None,wies vrome ende omme de doecht zweet,None,wes vroem ende om die ere sweet,wes vrome. om doghet zweet,None,wes vromich ende om doget zweet,wes vrome ende doget zweet,wes vrome ende om doget sweet:,None,None,None,wes vrome ende om die dueghet zweet,None,None,wes vrome om doget sweet
M1_30_386,houtti dat men di niet en matte,None,datmen di niet matte,None,datmen di niene matte,datmen dy niet en matte,None,dat men dy niet en matte,wacht datmen dij niet en matte,dat men di niet en matte:,None,None,None,dat men di niet en matte,None,None,datmen di niet en matte
M1_30_387,onder der ydelre glorien cleet,None,onder der ydelre glorien cleet,None,onder der idelre glorien cleet,onder der ydelre glorien cleet,None,onder der ydelder glorien cleet,onder der ydelre glorien cleet,onder der ydelre glorien cleet:,None,None,None,onder der ydeler glorien cleet,None,None,onder der ydelre glorien cleet
M1_30_388,daer menestraudie met omme gheet,None,dair ministraudie mede omme gheet,None,daer menestraudie mede omme gheet,daer soe menighe mede om gheet:,None,daer die meneghe met omme gheet,daer menich met om gheet,daer die menege met omme geet:,None,None,None,daer de menighe met omme gheet,None,None,daer de menege met omme geet
M1_30_389,want hare tonghe platte,None,want hare tonghe platte,None,want hare tonghe platte,want haer tonghe platte,None,want haere tonghe platte,want haer tonghe platte,want hare tongen platte:,None,None,None,want haere tonghen platte,None,None,want haer tonge platte
M1_30_390,smelten alse snee clatte,None,smelten als snee clatten,None,smelten alse sneclatte.,smeltet als een snee clatte,None,smelten als snee clatte,smeltet als snee clatte,smelten als die snee clatte ⸫,None,None,None,smelten alse sneclatten.,None,None,smelten alse sneeclatte
M1_31_391,eere te minne dats eene dinc,None,eere te minne dats een dinc,None,eere te minnen dats een dinc,seere te minnen dats een dinck,None,ere te hebben es ene dinc,sere te minnen es een dinc,None,None,None,None,sere te minnene es een dijnc,None,None,eere te prisen es een dinc
M1_31_392,daer noit herte met omme ghinc,None,dair noyt herte mede ommeghinc,None,daer noyt herte mede omghinc,daer noyt herte mede om en ghinc,None,daer noy herte met omme ghinc,dair noyt herte met omginc,None,None,None,None,daer noyt man met omme ghinc,None,None,daer noit herte met omme ginc
M1_31_393,sone was van reenen aerde,None,soe en was van reynen airde,None,zi ne was van reinen aerde,sy en was van reynen aerde,None,sine was van reynen arde,sine was van reynen aerde,None,None,None,None,hine was van reinen aerde,None,None,None
M1_31_394,bestu hout of ionghelinc,None,bistu out man of iongling,None,bistu out of jonghelinc,bistu out of ionghelinck,None,bestu out oft iongelinc,bestu out off ionghelinc,None,None,None,None,bestu oudt of ionghelinc,None,None,bestu man of iongelinc
M1_31_395,doe wel altoes ende ontsprinc,None,doe altois wel ende dwing,None,doe wel altoes ende bedwinc,doet altoos wel ende dwinck/,None,doet altoes wel dwinc,doet altoes wel ende dwinc,None,None,None,None,doet altoos wel ende dwijnc,None,None,doe altoes wel ende dwinc
M1_31_396,die herten houaerde,None,dire harte houarde,None,dijnre herten houaerde,dijnre herten houaerde,None,dijnre herten houerde,diinre herten houeerde.,None,None,None,None,dijnre herten houaerde,None,None,dijnre herten houerde
M1_31_397,prijs die in lodders tonghe hinc,None,prijs die in lodders tonge hing,None,prijs die in lodders tonghe hinc,prijs in die lodders tonghen hinck.,None,prijs die in lodders tonghe hinc,prijs die in lodders tonghe hinc,None,None,None,None,prijs die in lodders tonghen hinc,None,None,prijs die in lodders tonge hinc
M1_31_398,hen was noyt wert eere oghen winc,None,was noyt waert eens oghen winc,None,was noyt wert eens oghen winc,en was niet waert een oghewinck,None,was noit wert eender oghenwinc,was noyt weert een oge winc,None,None,None,None,en was noyt een oeghewijnc,None,None,was noit wert eenre ogen winc
M1_31_399,onder die goede waerde,None,onder die goeden waerde,None,onder die goede waerde,onder die goede waerde.,None,onder die goede waerde,onder die goede weerde,None,None,None,None,onder die goede waerde,None,None,onder die goede werde
M1_31_400,onwerden lof vlie ende ontsprinc,None,onwerden loof vlie ende ontsprinc,None,onwerden lof vlie ende ontsprinc,onwaerden lof vlie ende ontsprinc,None,onwaerdeghen lof vliet ende ontsprinc,onweerden loff vliet ende onsprinc,None,None,None,None,onwerden lof vlie ende ontsprijnc,None,None,None
M1_31_401,die meneghen vaet ende wilen vinc,None,die meneghen vaet ende wilen vinc,None,die menghen vaet ende wilen vinc,die menighe vaet ende wilen vinc,None,die meneghen vaet ende wilen vinc,die meneghe vaet ende wilen vinc,None,None,None,None,die menighen vaet ende wilen vinc,None,None,die menege vaet ende wilen vine
M1_31_402,die dat wort begaerde,None,die dat woirt begaerde,None,die dat woert begaerde,die dat woert begaerde/,None,die dat wort begaerde,die dat woort begaerde,None,None,None,None,die dat woort begaerde,None,None,die dat wort begherde
M1_31_403,ende dat weldoen spaerde,None,ende dat wel doen spaerde,None,ende dat weldoen spaerde.,ende dat weldoen spaerde:,None,ende dat weldoen sparde,ende dat weldoen spaerde,None,None,None,None,ende dat weldoen spaerde,None,None,ende dat weldoen spaerde
